"antibiotics exclusion","location","condition","Group 0 sample size","Group 1 sample size","Group 0 name","Group 1 name","Group 1 definition","host species","body_site","sequencing type","16S variable region (lower bound)","16S variable region (upper bound)","sequencing platform","statistical test","LDA Score >","significance threshold","MHT correction","matched on","confounders controlled for","Pielou","Shannon","Chao1","Simpson","Inverse Simpson","Richness","Study","Page Name"
"4 weeks","China","allergic rhinitis","32","23","healthy control","allergic rhinitis","child age 3-5 diagnosed as having symptoms such as sneezing, nasal congestion, itching, and rhinorrhea in the last 12 months","Homo sapiens","throat","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","Yes","","","","unchanged","unchanged","","","unchanged","Study 401","Experiment 2"
"","Australia","atopic eczema","8","6","healthy control","IgE associated eczema","Infants with typical skin lesions responsive to topical steroids diagnosed with eczema and with severity determined using the SCORAD index","Homo sapiens","feces","16S","3","4","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","delivery procedure, medical procedure","","unchanged","unchanged","","","","","Study 402","Experiment 1"
"","Australia","atopic eczema","10","9","mothers whose infants remained non-allergic","Mothers whose infants developed IgE associated eczema","Mothers whose infants developed typical skin lesions responsive to topical steroids diagnosed with eczema and with severity determined using the SCORAD index","Homo sapiens","feces","16S","3","4","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","delivery procedure, medical procedure","","unchanged","unchanged","","","","","Study 402","Experiment 2"
"","Australia","cesarean section","7","7","vaginally delivered infant","caesarean delivered infant","infant born by caesarean section","Homo sapiens","feces","16S","3","4","Roche454","Mann-Whitney (Wilcoxon)","","0.05","No","","","unchanged","unchanged","","","","","Study 402","Experiment 3"
"","China","eczema","123","49","healthy control","child with eczema","children age 0-3 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 1"
"","China","eczema","123","49","healthy control","child with eczema","children age 0-3 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 2"
"","China","eczema","123","49","healthy control","child with eczema","children age 0-0.5 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 3"
"","China","eczema","123","49","healthy control","child with eczema","children age 0-0.5 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 4"
"","China","eczema","123","49","healthy control","child with eczema","children age 0.5-1 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 5"
"","China","eczema","123","49","healthy control","child with eczema","children age 0.5-1 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 6"
"","China","eczema","123","49","healthy control","child with eczema","children age 1-2 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 7"
"","China","eczema","123","49","healthy control","child with eczema","children age 1-2 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.05","No","age","","","unchanged","","","","","Study 403","Experiment 8"
"","China","eczema","123","49","healthy control","child with eczema","children age 2-3 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","t-test","","0.05","No","age","","","decreased","","","","","Study 403","Experiment 9"
"","China","eczema","123","49","healthy control","child with eczema","children age 2-3 with eczema diagnosed by pediatrician based on clinical criteria such as dry, desquamation skin, increased temperature on the local skin, and oozing or crusting","Homo sapiens","feces","16S","3","4","Illumina","LEfSe","4","0.05","No","age","","","decreased","","","","","Study 403","Experiment 10"
"6 months","South Korea","atopic eczema","5","15","healthy control","patient with atopic dermatitis","patient age <1 year diagnosed with atopic dermatitis based on the SCORAD scoring system","Homo sapiens","feces","16S","1","2","Roche454","Random Forest Analysis","","0.05","No","","","","unchanged","","","","","Study 404","Experiment 1"
"6 months","South Korea","atopic eczema","15","58","healthy control","patient with atopic dermatitis","patient age 1-6 years diagnosed with atopic dermatitis based on the SCORAD scoring system","Homo sapiens","feces","16S","1","2","Roche454","Random Forest Analysis","","0.05","No","","","","unchanged","","","","","Study 404","Experiment 2"
"6 months","South Korea","atopic eczema","22","17","healthy control","patient with atopic dermatitis","patient age >6 years diagnosed with atopic dermatitis based on the SCORAD scoring system","Homo sapiens","feces","16S","1","2","Roche454","Random Forest Analysis","","0.05","No","","","","unchanged","","","","","Study 404","Experiment 3"
"","Denmark","asthma","531","58","no asthma at 5 years old","child with asthma at 5 years old","child with physician diagnosed asthma based on verified diary recordings of five episodes of troublesome lung symptoms within 6 months, exercise-induced symptoms, prolonged nocturnal cough, and/or persistent cough outside of common colds, need for intermittent rescue use of inhaled β2-agonist, response to a 3-month course of inhaled corticosteroids andrelapse upon ending treatment","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 405","Experiment 1"
"","Denmark","asthma","122","25","no asthma at 5 years old","child with asthma at 5 years old among mothers with asthma","child with physician diagnosed asthma based on verified diary recordings of five episodes of troublesome lung symptoms within 6 months, exercise-induced symptoms, prolonged nocturnal cough, and/or persistent cough outside of common colds, need for intermittent rescue use of inhaled β2-agonist, response to a 3-month course of inhaled corticosteroids andrelapse upon ending treatment and mother with asthma","Homo sapiens","feces","16S","4","","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","unchanged","","","unchanged","Study 405","Experiment 2"
"","China","lung cancer","172","75","healthy controls","non-smoking female lung cancer patients","female and have confirmed diagnosis of non-small-cell lung cancer","Homo sapiens","saliva","16S","1","2","Illumina","LEfSe","3","0.05","No","age","","","decreased","","","","decreased","Study 406","Experiment 1"
"6 months","China","peptic esophagitis","51","55","healthy controls","reflux esophagus patients","symptoms such as heartburn and regurgitation were in accordance with the endoscopic criteria of Los Angeles Grade and taken no drugs as treatment","Homo sapiens","saliva","16S","3","4","Illumina","LEfSe","2","0.05","Yes","age, sex","","","unchanged","","unchanged","","","Study 407","Experiment 1"
"","Canada","asthma","37","39","healthy controls","asthma at 3 months","physician diagnosis of asthma by 4 years of age or was prescribed inhaled asthma medications (inhaled corticosteroids or bronchodilators) from 3 to 4 years of age","Homo sapiens","feces","16S","3","","Illumina","DESeq2","","0.05","Yes","sex, birth mode, feeding practices, antibiotic exposure","","","unchanged","","","","","Study 408","Experiment 1"
"","Canada","asthma","37","39","healthy controls","asthma at 1 year","physician diagnosis of asthma by 4 years of age or was prescribed inhaled asthma medications (inhaled corticosteroids or bronchodilators) from 3 to 4 years of age","Homo sapiens","feces","16S","3","","Illumina","DESeq2","","0.05","Yes","sex, birth mode, feeding practices, antibiotic exposure","","","unchanged","","","","","Study 408","Experiment 2"
"4 weeks","Italy","milk allergic reaction","20","19","healthy controls","IgE mediated cow's milk allergy","diagnosis of IgE mediated cow's milk allergy based on clinical history and level of IgE serum-specific anti-cow's milk proteins","Homo sapiens","feces","16S","4","","Illumina","Welch's t-test","","0.05","Yes","age, sex, body weight","","increased","increased","","","","","Study 409","Experiment 1"
"","Nigeria","HIV infection","55","34","HIV-uninfected MSM","ART-treated HIV infected MSM","Men who have sex with men (MSM) with HIV that has been treated with antiretroviral therapy (ART)","Homo sapiens","rectal","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 410","Experiment 1"
"","Nigeria","gonorrhea","95","35","MSM with no gonorrhea","MSM with gonorrhea","Men who have sex with men (MSM)","Homo sapiens","rectal","16S","3","4","Illumina","Mann-Whitney (Wilcoxon)","","0.05","No","","","","unchanged","","","","","Study 410","Experiment 2"
"","United States of America","HIV/AIDS pre-exposure prophylaxis","37","37","HIV-negative MSM not on PrEP","HIV-negative MSM on PrEP","HIV-negative Men who have sex with men (MSM) on HIV pre-exposure prophylaxis (PrEP)","Homo sapiens","rectal","16S","4","","Illumina","LASSO regression","","0.1","Yes","age, race, ethnic group, obesity, methamphetaime dependence, marijuana, alcohol consumption, nicotine dependence, anal intercourse","","","unchanged","unchanged","unchanged","","unchanged","Study 411","Experiment 1"
"","United States of America","HIV/AIDS pre-exposure prophylaxis","37","37","HIV-negative MSM not on PrEP","HIV-negative MSM on PrEP","HIV-negative Men who have sex with men (MSM) on HIV pre-exposure prophylaxis (PrEP)","Homo sapiens","rectal","16S","4","","Illumina","Zero-inflated negative binomial regression","","0.05","Yes","age, race, ethnic group, obesity, methamphetaime dependence, marijuana, alcohol consumption, nicotine dependence, anal intercourse","","","unchanged","unchanged","unchanged","","unchanged","Study 411","Experiment 2"
